ID,REF_DATE,GEO,DGUID,Type of product,Type of storage,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1354,1973-07,Quebec,,Onions,Cold and common storage,Tonnes,288,units ,0,v722352,3.2.1,0,,,,0
1355,1973-07,Quebec,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722360,3.3.1,0,,,,0
1356,1973-07,Quebec,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722368,3.4.1,0,,,,0
1357,1973-07,Ontario,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722345,4.1.1,0,,,,0
1358,1973-07,Ontario,,Onions,Cold and common storage,Tonnes,288,units ,0,v722353,4.2.1,0,,,,0
1359,1973-07,Ontario,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722361,4.3.1,0,,,,0
1360,1973-07,Ontario,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722369,4.4.1,0,,,,0
1361,1973-07,Manitoba,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722346,5.1.1,0,,,,0
1362,1973-07,Manitoba,,Onions,Cold and common storage,Tonnes,288,units ,0,v722354,5.2.1,0,,,,0
1363,1973-07,Manitoba,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722362,5.3.1,0,,,,0
1364,1973-07,Manitoba,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722370,5.4.1,0,,,,0
1365,1973-07,Saskatchewan,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722347,6.1.1,0,,,,0
1366,1973-07,Saskatchewan,,Onions,Cold and common storage,Tonnes,288,units ,0,v722355,6.2.1,0,,,,0
1367,1973-07,Saskatchewan,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722363,6.3.1,0,,,,0
1368,1973-07,Saskatchewan,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722371,6.4.1,0,,,,0
1369,1973-07,Alberta,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722348,7.1.1,0,,,,0
1370,1973-07,Alberta,,Onions,Cold and common storage,Tonnes,288,units ,0,v722356,7.2.1,0,,,,0
1371,1973-07,Alberta,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722364,7.3.1,0,,,,0
1372,1973-07,Alberta,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722372,7.4.1,0,,,,0
1373,1973-07,British Columbia,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722349,8.1.1,0,,,,0
1374,1973-07,British Columbia,,Onions,Cold and common storage,Tonnes,288,units ,0,v722357,8.2.1,0,,,,0
1375,1973-07,British Columbia,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722365,8.3.1,0,,,,0
1376,1973-07,British Columbia,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722373,8.4.1,0,,,,0
1377,1973-08,Canada,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722342,1.1.1,0,,,,0
1378,1973-08,Canada,,Onions,Cold and common storage,Tonnes,288,units ,0,v722350,1.2.1,0,,,,0
1379,1973-08,Canada,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722358,1.3.1,0,,,,0
1380,1973-08,Canada,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722366,1.4.1,0,,,,0
1381,1973-08,Maritime provinces,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722343,2.1.1,0,,,,0
1382,1973-08,Maritime provinces,,Onions,Cold and common storage,Tonnes,288,units ,0,v722351,2.2.1,0,,,,0
1383,1973-08,Maritime provinces,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722359,2.3.1,0,,,,0
